trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,down,0.005,db,0.04957012389030393,0.0003668000008474337,62.10318069999994,62.10318069999994,62.40323230000104,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,down,0.005,db,0.04954159724463838,0.0003696999992826022,64.56970880000154,64.56970880000154,64.8698015000009,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,down,0.005,db,0.04954159724463838,0.0003527999997459119,67.01981680000063,67.01981680000063,67.31959860000097,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,down,0.005,db,0.04954159724463838,0.0003544999999576248,69.36973639999997,69.36973639999997,69.66966450000109,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,down,0.005,db,0.04951308701550458,0.0003544999999576248,71.70287310000094,71.70287310000094,72.00306420000015,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,down,0.005,db,0.04951308701550458,0.0003531000002112705,74.06968460000098,74.06968460000098,74.36948740000116,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,down,0.005,db,0.04951308701550458,0.00037509999856411014,76.4193563000008,76.4193563000008,76.71945470000173,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,down,0.005,db,0.04948459319345515,0.0003738000013981946,78.80278270000053,78.80278270000053,79.10287320000134,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,down,0.005,db,0.04948459319345515,0.0003777999991143588,81.2526727000004,81.2526727000004,81.55299240000022,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,down,0.005,db,0.04948459319345515,0.0003570000008039642,83.70263310000155,83.70263310000155,84.00257350000174,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,down,0.005,db,0.04945611576904811,0.00035539999953471124,86.06941450000159,86.06941450000159,86.36959410000054,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,down,0.005,db,0.04945611576904811,0.000352700000803452,88.43610600000102,88.43610600000102,88.7360903000008,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,down,0.005,db,0.04945611576904811,0.00042659999962779693,90.81916880000063,90.81916880000063,91.11939610000081,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,32,down,0.005,db,0.04942765473284695,0.0003581000000849599,93.35264559999996,93.35264559999996,93.65266360000169,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,down,0.005,db,0.04942765473284695,0.00036469999940891284,95.71928480000133,95.71928480000133,96.019013000001,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,down,0.005,db,0.04942765473284695,0.000371899999663583,98.15297270000156,98.15297270000156,98.4524659000017,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,down,0.005,db,0.04939921007542057,0.0003507000001263805,100.68587640000078,100.68587640000078,100.98563880000074,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,down,0.005,db,0.04939921007542057,0.00038270000004558824,103.06921280000097,103.06921280000097,103.36915040000167,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,down,0.005,db,0.04939921007542057,0.00035209999987273477,105.5188990000006,105.5188990000006,105.81909980000091,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,down,0.005,db,0.049370781787343304,0.00036129999898548704,107.96881170000051,107.96881170000051,108.26883700000144,1,1,779228,001,2022-09-08_16h03.08.794,Grating_Titration exp,2022.2.4,60.067383591128916,
